Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides Exp_1	Peptides Exp_2	Peptides Exp_5	Peptides Exp_6	Razor + unique peptides Exp_1	Razor + unique peptides Exp_2	Razor + unique peptides Exp_5	Razor + unique peptides Exp_6	Unique peptides Exp_1	Unique peptides Exp_2	Unique peptides Exp_5	Unique peptides Exp_6	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Ratio M/L	Ratio M/L normalized	Ratio M/L variability [%]	Ratio M/L count	Ratio M/L iso-count	Ratio M/L type	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Ratio H/L iso-count	Ratio H/L type	Ratio H/M	Ratio H/M normalized	Ratio H/M variability [%]	Ratio H/M count	Ratio H/M iso-count	Ratio H/M type	Ratio M/L Exp_1	Ratio M/L normalized Exp_1	Ratio M/L variability [%] Exp_1	Ratio M/L count Exp_1	Ratio M/L iso-count Exp_1	Ratio M/L type Exp_1	Ratio H/L Exp_1	Ratio H/L normalized Exp_1	Ratio H/L variability [%] Exp_1	Ratio H/L count Exp_1	Ratio H/L iso-count Exp_1	Ratio H/L type Exp_1	Ratio H/M Exp_1	Ratio H/M normalized Exp_1	Ratio H/M variability [%] Exp_1	Ratio H/M count Exp_1	Ratio H/M iso-count Exp_1	Ratio H/M type Exp_1	Ratio M/L Exp_2	Ratio M/L normalized Exp_2	Ratio M/L variability [%] Exp_2	Ratio M/L count Exp_2	Ratio M/L iso-count Exp_2	Ratio M/L type Exp_2	Ratio H/L Exp_2	Ratio H/L normalized Exp_2	Ratio H/L variability [%] Exp_2	Ratio H/L count Exp_2	Ratio H/L iso-count Exp_2	Ratio H/L type Exp_2	Ratio H/M Exp_2	Ratio H/M normalized Exp_2	Ratio H/M variability [%] Exp_2	Ratio H/M count Exp_2	Ratio H/M iso-count Exp_2	Ratio H/M type Exp_2	Ratio M/L Exp_5	Ratio M/L normalized Exp_5	Ratio M/L variability [%] Exp_5	Ratio M/L count Exp_5	Ratio M/L iso-count Exp_5	Ratio M/L type Exp_5	Ratio H/L Exp_5	Ratio H/L normalized Exp_5	Ratio H/L variability [%] Exp_5	Ratio H/L count Exp_5	Ratio H/L iso-count Exp_5	Ratio H/L type Exp_5	Ratio H/M Exp_5	Ratio H/M normalized Exp_5	Ratio H/M variability [%] Exp_5	Ratio H/M count Exp_5	Ratio H/M iso-count Exp_5	Ratio H/M type Exp_5	Ratio M/L Exp_6	Ratio M/L normalized Exp_6	Ratio M/L variability [%] Exp_6	Ratio M/L count Exp_6	Ratio M/L iso-count Exp_6	Ratio M/L type Exp_6	Ratio H/L Exp_6	Ratio H/L normalized Exp_6	Ratio H/L variability [%] Exp_6	Ratio H/L count Exp_6	Ratio H/L iso-count Exp_6	Ratio H/L type Exp_6	Ratio H/M Exp_6	Ratio H/M normalized Exp_6	Ratio H/M variability [%] Exp_6	Ratio H/M count Exp_6	Ratio H/M iso-count Exp_6	Ratio H/M type Exp_6	Sequence coverage Exp_1 [%]	Sequence coverage Exp_2 [%]	Sequence coverage Exp_5 [%]	Sequence coverage Exp_6 [%]	Intensity	Intensity L	Intensity M	Intensity H	Intensity Exp_1	Intensity L Exp_1	Intensity M Exp_1	Intensity H Exp_1	Intensity Exp_2	Intensity L Exp_2	Intensity M Exp_2	Intensity H Exp_2	Intensity Exp_5	Intensity L Exp_5	Intensity M Exp_5	Intensity H Exp_5	Intensity Exp_6	Intensity L Exp_6	Intensity M Exp_6	Intensity H Exp_6	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	GlyGly (K) site IDs	NEM site IDs	Oxidation (M) site IDs	GlyGly (K) site positions	NEM site positions	Oxidation (M) site positions
A0A087WX29;Q13148-4;Q13148	A0A087WX29;Q13148-4;Q13148	1;1;1	1;1;1	1;1;1	TAR DNA-binding protein 43	TARDBP	>tr|A0A087WX29|A0A087WX29_HUMAN TAR DNA-binding protein 43 (Fragment) OS=Homo sapiens GN=TARDBP PE=1 SV=1;>sp|Q13148-4|TADBP_HUMAN Isoform 2 of TAR DNA-binding protein 43 OS=Homo sapiens GN=TARDBP;>sp|Q13148|TADBP_HUMAN TAR DNA-binding protein 43 OS=Homo s	3	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	7.4	7.4	7.4	26.743	243	243;298;414	0	83.056	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	7.4	0	0	0	4597100	0	0	4597100	4597100	0	0	4597100	0	0	0	0	0	0	0	0	0	0	0	0				54	3405	True	3538	10541	12016	12016						
A0A087WY29;Q8IXW7;A0A087WXI3;G8JLE9;R9WNI0;A8MQB8;G3V0J0;Q06787-11;Q06787-10;Q06787-8;Q06787-6;Q06787-2;Q06787-4;Q06787-5;Q06787-9;Q06787-7;Q06787-3;Q06787	A0A087WY29;Q8IXW7;A0A087WXI3;G8JLE9;R9WNI0;A8MQB8;G3V0J0;Q06787-11;Q06787-10;Q06787-8;Q06787-6;Q06787-2;Q06787-4;Q06787-5;Q06787-9;Q06787-7;Q06787-3;Q06787	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	Fragile X mental retardation protein 1	FMR1	>tr|A0A087WY29|A0A087WY29_HUMAN Fragile X mental retardation protein 1 (Fragment) OS=Homo sapiens GN=FMR1 PE=1 SV=1;>tr|Q8IXW7|Q8IXW7_HUMAN FMR1 protein OS=Homo sapiens GN=FMR1 PE=1 SV=1;>tr|A0A087WXI3|A0A087WXI3_HUMAN Fragile X mental retardation protein 	18	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	4.8	4.8	4.8	28.865	252	252;297;419;537;544;582;592;516;537;586;590;594;603;607;611;615;620;632	0.001612	1.96	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	4.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				55	8320	True	8622	26758	30885	30885			84			176
A0A087WXK8;Q9H4H8-2;Q9H4H8	A0A087WXK8;Q9H4H8-2;Q9H4H8	4;4;4	4;4;4	4;4;4	Protein FAM83D	FAM83D	>tr|A0A087WXK8|A0A087WXK8_HUMAN Chromosome 20 open reading frame 129 OS=Homo sapiens GN=FAM83D PE=1 SV=1;>sp|Q9H4H8-2|FA83D_HUMAN Isoform 2 of Protein FAM83D OS=Homo sapiens GN=FAM83D;>sp|Q9H4H8|FA83D_HUMAN Protein FAM83D OS=Homo sapiens GN=FAM83D PE=1 SV=	3	4	4	4	4	0	0	0	4	0	0	0	4	0	0	0	10.1	10.1	10.1	67.664	615	615;569;585	0	14.47	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	10.1	0	0	0	23367000	0	3580800	19786000	23367000	0	3580800	19786000	0	0	0	0	0	0	0	0	0	0	0	0				56	3578;7807;12177;12787	True;True;True;True	3716;8084;12699;13337	11101;11102;11103;25335;39552;41649	12659;12660;12661;29348;45401;47754	12659;29348;45401;47754			85			476
A0A087WXM6;J3QQT2;J3KRX5;A0A0A6YYL6;P18621;P18621-3;J3KRB3;A0A087WWH0;J3QS96;J3QLC8;A0A0A0MRF8;P18621-2;A0A087WY81;J3KSJ0	A0A087WXM6;J3QQT2;J3KRX5;A0A0A6YYL6;P18621;P18621-3;J3KRB3;A0A087WWH0;J3QS96;J3QLC8;A0A0A0MRF8;P18621-2;A0A087WY81	7;7;7;7;7;7;6;6;6;6;6;6;4;2	7;7;7;7;7;7;6;6;6;6;6;6;4;2	7;7;7;7;7;7;6;6;6;6;6;6;4;2	60S ribosomal protein L17	RPL17	>tr|A0A087WXM6|A0A087WXM6_HUMAN 60S ribosomal protein L17 (Fragment) OS=Homo sapiens GN=RPL17 PE=3 SV=1;>tr|J3QQT2|J3QQT2_HUMAN 60S ribosomal protein L17 (Fragment) OS=Homo sapiens GN=RPL17 PE=3 SV=1;>tr|J3KRX5|J3KRX5_HUMAN 60S ribosomal protein L17 (Fragm	14	7	7	7	5	5	0	0	5	5	0	0	5	5	0	0	39.6	39.6	39.6	19.586	169	169;171;174;228;184;228;129;132;138;174;190;146;98;56	0	205.63	3.3933	5.8663	47.66	13	12	Median	15.24	14.681	61.501	13	12	Median	4.5127	2.6361	33.258	13	12	Median	3.0421	5.4053	46.039	6	6	Median	12.261	12.437	66.797	6	6	Median	4.9291	2.7787	50.846	6	6	Median	3.9309	6.0891	52.588	7	6	Median	17.501	17.841	59.029	7	6	Median	4.4796	2.5918	5.7679	7	6	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	23.7	33.7	0	0	464410000	20599000	65255000	378560000	338410000	16462000	47574000	274380000	126000000	4136800	17681000	104180000	0	0	0	0	0	0	0	0				57	4386;4387;5858;6622;11028;15079;15242	True;True;True;True;True;True;True	4550;4551;6072;6857;6858;11512;15729;15903	13779;13780;13781;13782;13783;13784;13785;18296;20843;20844;20845;20846;20847;20848;20849;35934;35935;35936;49377;49923	15843;15844;15845;15846;15847;15848;15849;21042;24010;24011;24012;24013;24014;24015;24016;41416;41417;41418;56503;57193	15845;15848;21042;24011;41418;56503;57193			86;87;88			94;140;148
A0A087WXP9;Q8IY47	A0A087WXP9;Q8IY47	3;3	3;3	3;3	Kelch repeat and BTB domain-containing protein 2	KBTBD2	>tr|A0A087WXP9|A0A087WXP9_HUMAN Kelch repeat and BTB domain-containing protein 2 OS=Homo sapiens GN=KBTBD2 PE=1 SV=1;>sp|Q8IY47|KBTB2_HUMAN Kelch repeat and BTB domain-containing protein 2 OS=Homo sapiens GN=KBTBD2 PE=1 SV=2	2	3	3	3	1	0	2	2	1	0	2	2	1	0	2	2	9.9	9.9	9.9	38.191	334	334;623	0	3.1032	4.0285	1.0657	92.088	4	4	Median	1.1499	0.12598	134.04	4	4	Median	0.23149	0.50614	60.868	4	4	Median	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	4.0623	0.81938	30.311	2	2	Median	0.94039	0.12598	43.153	2	2	Median	0.23149	0.79943	4.0981	2	2	Median	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	1	1	Median	3	0	6.3	6.6	47090000	5901300	31388000	9801100	11175000	1257400	5349100	4568900	0	0	0	0	22765000	3652400	15717000	3396100	13149000	991480	10322000	1836100				58	983;5266;11962	True;True;True	1023;5456;12477	3205;16396;16397;16398;38929	3669;18887;18888;18889;44690	3669;18889;44690			89;90			59;61
A0A087WXS7;O43681;K7ERW9	A0A087WXS7;O43681	7;7;3	7;7;3	7;7;3	ATPase ASNA1	ASNA1	>tr|A0A087WXS7|A0A087WXS7_HUMAN ATPase ASNA1 OS=Homo sapiens GN=ASNA1 PE=1 SV=1;>sp|O43681|ASNA_HUMAN ATPase ASNA1 OS=Homo sapiens GN=ASNA1 PE=1 SV=2	3	7	7	7	6	0	6	1	6	0	6	1	6	0	6	1	32.6	32.6	32.6	37.119	331	331;348;200	0	36.072	26.337	11.712	69.916	7	7	Median	0.9077	0.06032	16.753	5	5	Median	0.032504	0.042572	102.65	5	5	Median	29.679	9.7146	38.701	2	2	Median	1.3754	0.052976	15.589	2	2	Median	0.04634	0.012261	84.063	2	2	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	24.398	12.094	93.67	4	4	Median	0.81212	0.066681	10.581	3	3	Median	0.032504	0.044875	52.129	3	3	Median	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	26	0	29.9	3	149040000	4200100	141110000	3736200	72964000	947030	70231000	1785700	0	0	0	0	74180000	3186500	69100000	1893800	1899900	66628	1776500	56762				59	3954;4513;4662;7029;7730;8028;15054	True;True;True;True;True;True;True	4106;4682;4836;7283;8004;8321;15702	12334;14129;14130;14584;14585;14586;22384;25019;25020;25021;25960;25961;49304;49305	14224;16223;16224;16766;16767;16768;25818;29016;29017;29018;30026;30027;56423;56424	14224;16223;16768;25818;29016;30026;56423			91;92			141;289
S4R3J8;S4R3V3;A0A087WXZ3;Q9Y5A9;Q9Y5A9-2	S4R3J8;S4R3V3;A0A087WXZ3;Q9Y5A9;Q9Y5A9-2	2;2;2;2;1	2;2;2;2;1	2;2;2;2;1	YTH domain-containing family protein 2	YTHDF2	>tr|S4R3J8|S4R3J8_HUMAN YTH domain-containing family protein 2 (Fragment) OS=Homo sapiens GN=YTHDF2 PE=1 SV=1;>tr|S4R3V3|S4R3V3_HUMAN YTH domain-containing family protein 2 (Fragment) OS=Homo sapiens GN=YTHDF2 PE=1 SV=1;>tr|A0A087WXZ3|A0A087WXZ3_HUMAN YTH 	5	2	2	2	2	0	2	0	2	0	2	0	2	0	2	0	13	13	13	21.034	200	200;241;569;579;529	0	19.831	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	13	0	13	0	30610000	116070	18297000	12197000	4760600	0	0	4760600	0	0	0	0	25850000	116070	18297000	7436500	0	0	0	0				60	1069;11090	True;True	1111;11574	3435;3436;3437;36105;36106;36107	3935;3936;3937;41594;41595;41596	3936;41595			93;94			182;189
A0A087WY61;Q14980-2;Q14980;Q14980-4;Q14980-3;F5H4J1;Q14980-5;F5H6Y5;H0YFY6;K4DIE0;F5H1L0;F5GZW1;F5H2F3;F5H3L6;F5H0Z7;F5H763	A0A087WY61;Q14980-2;Q14980;Q14980-4;Q14980-3;F5H4J1;Q14980-5	8;8;8;7;7;4;4;3;3;2;1;1;1;1;1;1	8;8;8;7;7;4;4;3;3;2;1;1;1;1;1;1	8;8;8;7;7;4;4;3;3;2;1;1;1;1;1;1	Nuclear mitotic apparatus protein 1	NUMA1	>tr|A0A087WY61|A0A087WY61_HUMAN Nuclear mitotic apparatus protein 1 OS=Homo sapiens GN=NUMA1 PE=1 SV=1;>sp|Q14980-2|NUMA1_HUMAN Isoform 2 of Nuclear mitotic apparatus protein 1 OS=Homo sapiens GN=NUMA1;>sp|Q14980|NUMA1_HUMAN Nuclear mitotic apparatus prote	16	8	8	8	5	4	2	1	5	4	2	1	5	4	2	1	5.8	5.8	5.8	236.16	2099	2099;2101;2115;1763;1776;852;979;691;964;353;109;146;159;174;201;220	0	16.64	1.2716	1.0884	48.169	6	6	Median	4.0001	3.2036	212.13	6	6	Median	2.7725	1.337	42.241	6	6	Median	1.0342	0.6202	70.297	3	3	Median	3.8495	0.16868	297.13	3	3	Median	3.1767	1.2546	28.002	3	3	Plateau	1.4446	1.2029	18.051	3	3	Median	4.4938	3.4356	25.899	3	3	Plateau	2.8353	1.7671	33.037	3	3	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	3.5	3	1.6	0.9	23058000	1716000	4120200	17222000	12546000	1377400	1691500	9477400	3840300	338530	726790	2774900	4130800	0	1701900	2428800	2540800	0	0	2540800				61	2688;6481;7830;8175;10209;10567;11571;14014	True;True;True;True;True;True;True;True	2797;6714;8108;8475;10663;11039;12073;14627	8440;20409;20410;20411;20412;25393;26366;26367;33112;34296;37655;37656;37657;46095	9632;23523;23524;23525;23526;29408;30472;30473;37981;39260;43300;43301;43302;52842	9632;23525;29408;30472;37981;39260;43301;52842			95;96			253;254
A0A087WY71;E9PFW3;Q96CW1-2;Q96CW1;C9JJ47	A0A087WY71;E9PFW3;Q96CW1-2;Q96CW1;C9JJ47	3;3;3;3;2	3;3;3;3;2	3;3;3;3;2	AP-2 complex subunit mu	AP2M1	>tr|A0A087WY71|A0A087WY71_HUMAN AP-2 complex subunit mu OS=Homo sapiens GN=AP2M1 PE=1 SV=1;>tr|E9PFW3|E9PFW3_HUMAN AP-2 complex subunit mu OS=Homo sapiens GN=AP2M1 PE=1 SV=1;>sp|Q96CW1-2|AP2M1_HUMAN Isoform 2 of AP-2 complex subunit mu OS=Homo sapiens GN=A	5	3	3	3	1	0	2	0	1	0	2	0	1	0	2	0	8.5	8.5	8.5	49.526	434	434;460;433;435;252	0	4.4927	8.2273	3.76	48.364	3	3	Plateau	6.8514	8.3525	306.97	3	3	Median	2.0716	3.271	154.33	3	3	Plateau	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	12.541	2.5297	59.62	2	2	Median	16.473	20.082	124.06	2	2	Median	1.3135	5.1591	64.443	2	2	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	3.5	0	5.1	0	12143000	665730	4335300	7142300	3215700	479690	1091800	1644200	0	0	0	0	8927600	186040	3243500	5498100	0	0	0	0				62	3418;11488;11784	True;True;True	3553;11988;12293	10599;37285;38352	12074;42893;44065	12074;42893;44065			97;98			215;274
A0A087WYC1;P34932;A0A087WTS8;P34932-2	A0A087WYC1;P34932;A0A087WTS8	5;5;3;2	5;5;3;2	5;5;3;2	Heat shock 70 kDa protein 4	HSPA4	>tr|A0A087WYC1|A0A087WYC1_HUMAN Heat shock 70 kDa protein 4 OS=Homo sapiens GN=HSPA4 PE=1 SV=1;>sp|P34932|HSP74_HUMAN Heat shock 70 kDa protein 4 OS=Homo sapiens GN=HSPA4 PE=1 SV=4;>tr|A0A087WTS8|A0A087WTS8_HUMAN Heat shock 70 kDa protein 4 OS=Homo sapiens	4	5	5	5	4	0	2	0	4	0	2	0	4	0	2	0	9	9	9	78.605	699	699;840;475;148	0	8.9109	1.8664	0.68949	111.55	3	3	Median	2.8393	0.099363	97.967	3	3	Median	1.5212	0.76995	31.306	3	3	Plateau	1.8664	0.68949	111.55	3	3	Median	2.8393	0.099363	97.967	3	3	Median	1.5212	0.76995	31.306	3	3	Plateau	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	7	0	4	0	34222000	2566100	16632000	15023000	26709000	2566100	9120000	15023000	0	0	0	0	7512400	0	7512400	0	0	0	0	0				63	422;471;2857;3902;9356	True;True;True;True;True	435;486;2967;4053;9774	1257;1409;1410;8836;12189;12190;30303	1369;1527;1528;10045;14074;14075;34902	1369;1527;10045;14075;34902			99			626
A0A087WYC2;Q9NVH2-4;Q9NVH2-3;Q9NVH2-2;Q9NVH2	A0A087WYC2;Q9NVH2-4;Q9NVH2-3;Q9NVH2-2;Q9NVH2	1;1;1;1;1	1;1;1;1;1	1;1;1;1;1	Integrator complex subunit 7	INTS7	>tr|A0A087WYC2|A0A087WYC2_HUMAN Integrator complex subunit 7 OS=Homo sapiens GN=INTS7 PE=1 SV=1;>sp|Q9NVH2-4|INT7_HUMAN Isoform 4 of Integrator complex subunit 7 OS=Homo sapiens GN=INTS7;>sp|Q9NVH2-3|INT7_HUMAN Isoform 3 of Integrator complex subunit 7 OS=	5	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	14.9	14.9	14.9	9.7773	87	87;913;942;948;962	0	3.3164	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	14.9	0	0	0	3103400	0	0	3103400	3103400	0	0	3103400	0	0	0	0	0	0	0	0	0	0	0	0				64	15170	True	15828	49726	56990	56990						
E5RII6;A0A087WYG4;Q6ZUA9	E5RII6;A0A087WYG4;Q6ZUA9	1;1;1	1;1;1	1;1;1	Maestro heat-like repeat family member 5	MROH5	>tr|E5RII6|E5RII6_HUMAN Maestro heat-like repeat family member 5 (Fragment) OS=Homo sapiens GN=MROH5 PE=4 SV=1;>tr|A0A087WYG4|A0A087WYG4_HUMAN Maestro heat-like repeat family member 5 OS=Homo sapiens GN=MROH5 PE=4 SV=1;>sp|Q6ZUA9|MROH5_HUMAN Maestro heat-l	3	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	19.1	19.1	19.1	12.838	110	110;1317;1318	1	-2	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	19.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+			65	8614	True	8923	27605	31810	31810			100			89
A0A087WYJ7;A8MVZ6;Q96G01-4;Q96G01-3;Q96G01	A0A087WYJ7;A8MVZ6;Q96G01-4;Q96G01-3;Q96G01	2;2;2;2;2	1;1;1;1;1	1;1;1;1;1	Protein bicaudal D homolog 1	GLYAT;BICD1	>tr|A0A087WYJ7|A0A087WYJ7_HUMAN Protein bicaudal D homolog 1 (Fragment) OS=Homo sapiens GN=BICD1 PE=1 SV=1;>tr|A8MVZ6|A8MVZ6_HUMAN BICD1 protein OS=Homo sapiens GN=BICD1 PE=1 SV=3;>sp|Q96G01-4|BICD1_HUMAN Isoform 4 of Protein bicaudal D homolog 1 OS=Homo s	5	2	1	1	2	0	1	0	1	0	1	0	1	0	1	0	16.2	8.7	8.7	19.394	173	173;827;835;873;975	1	-2	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	16.2	0	8.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+			66	825;1011	False;True	858;1053	2553;3300;3301	2821;3785;3786	2821;3786			101			19
A0A087WYN9;Q7Z478	A0A087WYN9;Q7Z478	9;9	9;9	9;9	ATP-dependent RNA helicase DHX29	DHX29	>tr|A0A087WYN9|A0A087WYN9_HUMAN ATP-dependent RNA helicase DHX29 OS=Homo sapiens GN=DHX29 PE=1 SV=1;>sp|Q7Z478|DHX29_HUMAN ATP-dependent RNA helicase DHX29 OS=Homo sapiens GN=DHX29 PE=1 SV=2	2	9	9	9	9	2	2	0	9	2	2	0	9	2	2	0	10.4	10.4	10.4	155.29	1370	1370;1369	0	121.51	2.6115	0.76476	108.73	3	3	Median	7.3772	0.99399	161.57	3	3	Median	6.8484	2.252	35.238	3	3	Plateau	2.5674	1.0774	151.19	2	2	Median	13.561	0.50096	96.902	2	2	Median	5.282	1.7347	36.912	2	2	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	10.4	2	2.3	0	86857000	1018000	3322600	82516000	76189000	836740	2014000	73338000	1810200	0	0	1810200	8858000	181300	1308500	7368200	0	0	0	0				67	726;1298;1492;2895;3737;8480;11576;13174;15189	True;True;True;True;True;True;True;True;True	754;1343;1541;3007;3878;8786;12078;13744;15848	2231;4091;4092;4728;4729;8967;11698;27209;27210;37664;43129;43130;43131;49800	2462;4688;4689;5441;5442;10192;13495;31378;31379;43309;49463;49464;49465;57069	2462;4688;5441;10192;13495;31378;43309;49463;57069			102;103;104			304;317;1050
